country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guyana,,,,,,,,,,,,,,,,,,,,,,11,11.6,12,12,12,12,11.1,12,15.8,29.2,29.5,22.5,12.3,11.4,12.9,10.5,8.56,8.1,9.07,8.71,7.63,4.53,3.18,2.68,2.59,2.54,2.47,2.37,2.32,2.27,1.94,1.52,1.13,1.07,1.11,1.17,1.05,0.994,0.878,0.847
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,5.63,4.64,5.98,6.62,4.5,4.8,2.38,0.345,0.0667,0.025,1.26,2.7,2.42,0.448,0.0108,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0442,0.138,0.0583
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,9.93,9.7,9.62,8.63,8.57,8.78,11.4,12.3,11.6,11.6,12,16.7,21.3,18.6,20,15.9,14.5,13.7,11.5,11.1,10.9,9.33,7.78,9.49,10.8,9.81,8.18,8.93,11.6,10.8,9.7,8.64,8.25,8.3,8.42,8.13
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,379,6.52,5.52,5.58,4.3,4.62,4.31,3.74,3.23,1.89,1.53,1.87,1.71,1.71,2.34,2.82,3.2,1.76,1.7,1.88,1.52,1.35,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,7.81,5.92,2.3,1.13,0.736,0.282,0.454,0.683,2.61,4.29,5.63,5.41,6.13,7.89,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,29.2,23.5,15,19.5,24.8,20.6,17.7,15.4,12.6,9.19,8.98,7.32,7.08,10.5,6.41,6.03,7.23,8.06,8.14,4.93,5.49,6.27,3.77,1.78,1.11,0.581,0.12,0.0643,0.105,0.467
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,23.3,19.6,14.5,12.5,16.7,17.3,20,39.1,25.7,12.5,15.5,15.5,10.6,6.44,8.08,11.4,7.98,8.49,9.28,7.02,6.93,5.95,6.26,8.75,8.34,7.17,6.52,6.13,6.69,5.5
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.7,11.8,11.6,11.6,13.3,13.1,11.9,11.2,14.8,14.8,16.9,16.3,12.8,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,6.56,6.62,10.4,10.5,7.82,6.06,5.91,5.87,5.75,5.16,4.86,4.78,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.798,0.457,0.484,0.519,0.562,0.65,0.591
