country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Macao, China",,,,,,,,,,,,,,,,,,,,3,3.13,3.5,3.5,3.29,3.54,3.75,3.75,3.75,3.97,4.33,3.51,3.97,4.16,4.56,5.4,5.48,5.68,5.89,5.47,5.91,4.96,4.33,5.22,5.23,5.2,5.19,5.21,5.2,5.21,5.21,5.2,5.19,5.12,5.05
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,11.2,9.86,9.15,7.99,8.91,7.76,9.32,6.74,5.82,6.05,6.25,3.81,3.13,5.6,8.69,6.87,5.79,5.07,5.3,2.18,3.55,4.59,4.36,3.65,4.35
Madagascar,,,,,,,,,,,,,,,,,,,,,,,4.5,5.3,4.97,4.5,5.65,8.78,17.1,16.1,15.9,18.8,16.2,11.8,12.2,13.3,12.5,12,9.5,8.35,23.8,30.8,33.2,35.7,41.9,45.7,48.8,49,42,45,45,42.6,36,35.7
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,6.86,6.86,6.86,4.95,5.35,5.29,5.37,5.71,6.31,6.31,6.31,6.31,6.31,6.31,6.33,6.02,6.75,7.34,7.28,6.98,6.98,6.58,7.02,8.05,7.88
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,4.27,19.6,9.98,5.78,10.9,12.1,8.67,6.56,4.45,3.94,4.74,6.24,4.22,4.36,5.66,5.05,4.07,3.96,3.6,2.94,2.71,2.85,3.47,4.64,4.77,4.9,4.88
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,6.84,5.47,4.05,3.4,3.23,3.51,3.9,4.04,4.05,4.56,4.51,4.39,4.07,3.74,3.72
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,−3.08,−3.06,−3.14,−3.6,−3.27,−3.24,−2.95,−2.37,−1.92,−1.84,−1.63,−1.35,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,10.6,7.81,7.81,7.81,8.85,9.02,8.96,8.96,8.96,8.96,8.96,8.42,8.92,8.92,8.92,8.92,8.77,8,8,8,8,8,8,8,8,9
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,6.1,4.24,5.42,5.55,5.83,6.55,6.3,6.48,7.27,7.48,6.91,6.32,5.92,5.71,5.5
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,20.6,20.2,23.1,22.3,17.9,17.3,17.6,13.9,8.37,9.19,8.38,8.21,6.14,6.84,6.44,6.71,6.58,6.47,7.05,5.28,6.04,6.67
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,16.1,11.8,9.34,7.72,8.72,12.5,12.2,11.7,8.19,7.67,7.33,6.15,6.58,6.12,5.38,6.53,6.22,6.33,10.4,10.8,9.43,9.9,10.3
